sku;store;attribute_set;type;categories;websites;description;enable_googlecheckout;has_options;image;image_label;magazine_cover;in_depth;is_imported;color;cost;country_of_manufacture;manufacturer;upc;max_resolution;media_gallery;megapixels;memory;meta_description;meta_keyword;meta_title;minimal_price;msrp;msrp_display_actual_price_type;msrp_enabled;name;news_from_date;news_to_date;options_container;page_layout;price;short_description;small_image;small_image_label;special_from_date;special_price;special_to_date;status;tax_class_id;thumbnail;thumbnail_label;updated_at;url_key;url_path;visibility;weight;qty;min_qty;use_config_min_qty;is_qty_decimal;backorders;use_config_backorders;min_sale_qty;use_config_min_sale_qty;max_sale_qty;use_config_max_sale_qty;is_in_stock;notify_stock_qty;use_config_notify_stock_qty;manage_stock;use_config_manage_stock;use_config_qty_increments;qty_increments;use_config_enable_qty_increments;enable_qty_increments;_links_related_sku;_links_related_position;_links_crosssell_sku;_links_crosssell_position;_links_upsell_sku;_links_upsell_position;_associated_sku;_associated_default_qty;_associated_position;_tier_price_website;_tier_price_customer_group;_tier_price_qty;_tier_price_price;_media_attribute_id;_media_image;_media_lable;_media_position;_media_is_disabled
SR0001;admin;Default;simple;"Sports and Fitness;;Sports and Fitness/Sports DVDs";base;"On January 3&#44; 2003&#44; the undefeated Ohio State Buckeyes met the undefeated Miami Hurricanes in Tempe&#44; Arizona for the Tostitos Fiesta Bowl and the National Championship. The resulting clash of those two great teams will long be remembered as one of the most spectacular contests in college history. This DVD contains the complete 2003 Tostitos Fiesta Bowl game&#44; with coverage from ABC Sports&#44; without commercial interruption&#44; presented in full-screen digital video. Chapter points on the DVD&#39;s main menu allow you to jump directly to the action&#44; quarter by quarter";1;1;+http://www.productimageswebsite.com/images/stock_jpgs/0001.jpg;"2003 Fiesta Bowl: Osu V Miami&#44; Florida";no_selection;;;;9.38;;Team Marketing;825452500027;;;;;__MAGMI_IGNORE__;__MAGMI_IGNORE__;__MAGMI_IGNORE__;;24.95;;;"2003 Fiesta Bowl: Osu V Miami&#44; Florida";__MAGMI_IGNORE__;__MAGMI_IGNORE__;Block after Info Column;;24.95;"2003 Fiesta Bowl: Osu V Miami&#44; Florida";+http://www.productimageswebsite.com/images/stock_jpgs/0001.jpg;"2003 Fiesta Bowl: Osu V Miami&#44; Florida";;12.5;;1;2;+http://www.productimageswebsite.com/images/stock_jpgs/0001.jpg;"2003 Fiesta Bowl: Osu V Miami&#44; Florida";;;;4;;296;0;1;0;0;1;1;1;0;1;1;;1;1;1;1;0;1;1;;;;;;;;;;;;;;88;;;1;0
SR0003;admin;Default;simple;"Sports and Fitness;;Sports and Fitness/Sports DVDs";base;"Kentucky vs. Duke . On March 17&#44; 1978 Kentuckys Jack Goose Givens put on one of the finest individual performances in NCAA Championship history and led the Kentucky Wildcats past the Duke Blue Devils 94 to 88 for the schools fifth NCAA title. This DVD contains the complete 1978 NCAA Championship game with coverage from NBC Sports&#44; without commercial interruption&#44; presented in fullscreen digital video. Chapter points on the DVDs main menu allow viewers to jump directly to the action half by half.";1;1;+http://www.productimageswebsite.com/images/stock_jpgs/0003.jpg;1978 Ncaa Championship Game;no_selection;;;;9.38;;Team Marketing;825452500225;;;;;__MAGMI_IGNORE__;__MAGMI_IGNORE__;__MAGMI_IGNORE__;;24.95;;;1978 Ncaa Championship Game;__MAGMI_IGNORE__;__MAGMI_IGNORE__;Block after Info Column;;24.95;1978 Ncaa Championship Game;+http://www.productimageswebsite.com/images/stock_jpgs/0003.jpg;1978 Ncaa Championship Game;;12.5;;1;2;+http://www.productimageswebsite.com/images/stock_jpgs/0003.jpg;1978 Ncaa Championship Game;;;;4;;298;0;1;0;0;1;1;1;0;1;1;;1;1;1;1;0;1;1;;;;;;;;;;;;;;88;;;1;0
SR0004;admin;Default;simple;"Sports and Fitness;;Sports and Fitness/Sports DVDs";base;"University of Kentucky. Since 1903&#44; the Kentucky Wildcats have established an unparalleled tradition in the sport of basketball. Fromt the days of peach baskets to the game-changing era of Adolph Rupp through the Wildcats&#39; most impressive decade of the 1990s&#44; Kentucky basketball has epitomized success. This commemorative DVD&#44; featuring rare footage from the past 100 years&#44; highlights the great coaches and players who have led Kentucky to the most wins in college basketball history &#39; a must for the Kentucky basketball fan.";1;1;+http://www.productimageswebsite.com/images/stock_jpgs/0004.jpg;100 Years Of Kentucky Basketball;no_selection;;;;9.38;;Team Marketing;781576400777;;;;;__MAGMI_IGNORE__;__MAGMI_IGNORE__;__MAGMI_IGNORE__;;24.95;;;100 Years Of Kentucky Basketball;__MAGMI_IGNORE__;__MAGMI_IGNORE__;Block after Info Column;;24.95;100 Years Of Kentucky Basketball;+http://www.productimageswebsite.com/images/stock_jpgs/0004.jpg;100 Years Of Kentucky Basketball;;12.5;;1;2;+http://www.productimageswebsite.com/images/stock_jpgs/0004.jpg;100 Years Of Kentucky Basketball;;;;4;;297;0;1;0;0;1;1;1;0;1;1;;1;1;1;1;0;1;1;;;;;;;;;;;;;;88;;;1;0
SR0011;admin;Default;simple;"Sports and Fitness;;Sports and Fitness/Sports DVDs";base;"It had been 15 years since the Oklahoma Sooners had won a national championship. On January 3&#44; 2001&#44; the undefeated Sooners met the heavily favored Seminoles of Florida State in Miami&#44; Florida for the FedEx Orange Bowl and the National Championship. Both Oklahoma and Florida State brought high-scoring offenses into the game&#44; but it was the smothering defense of the Sooners that was the difference in the game.";1;1;+http://www.productimageswebsite.com/images/stock_jpgs/0011.jpg;2001 Orange Bowl: Oklahoma Vs. Florida State;no_selection;;;;7.5;;Team Marketing;825452100180;;;;;__MAGMI_IGNORE__;__MAGMI_IGNORE__;__MAGMI_IGNORE__;;19.95;;;2001 Orange Bowl: Oklahoma Vs. Florida State;__MAGMI_IGNORE__;__MAGMI_IGNORE__;Block after Info Column;;19.95;2001 Orange Bowl: Oklahoma Vs. Florida State;+http://www.productimageswebsite.com/images/stock_jpgs/0011.jpg;2001 Orange Bowl: Oklahoma Vs. Florida State;;10;;1;2;+http://www.productimageswebsite.com/images/stock_jpgs/0011.jpg;2001 Orange Bowl: Oklahoma Vs. Florida State;;;;4;;300;0;1;0;0;1;1;1;0;1;1;;1;1;1;1;0;1;1;;;;;;;;;;;;;;88;;;1;0
