"sku","store","attribute_set","type","categories","websites","description","enable_googlecheckout","has_options","image","image_label","magazine_cover","in_depth","is_imported","color","cost","country_of_manufacture","manufacturer","upc","max_resolution","media_gallery","megapixels","memory","meta_description","meta_keyword","meta_title","minimal_price","msrp","msrp_display_actual_price_type","msrp_enabled","name","news_from_date","news_to_date","options_container","page_layout","price","short_description","small_image","small_image_label","special_from_date","special_price","special_to_date","status","tax_class_id","thumbnail","thumbnail_label","updated_at","url_key","url_path","visibility","weight","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","use_config_qty_increments","qty_increments","use_config_enable_qty_increments","enable_qty_increments","_links_related_sku","_links_related_position","_links_crosssell_sku","_links_crosssell_position","_links_upsell_sku","_links_upsell_position","_associated_sku","_associated_default_qty","_associated_position","_tier_price_website","_tier_price_customer_group","_tier_price_qty","_tier_price_price","_media_attribute_id","_media_image","_media_lable","_media_position","_media_is_disabled"
"XS162389","admin","Default","simple","Electronics;;Electronics/Software;;Electronics/Software/Photo Video Design","base","<font color=""#000080""><b>Ready-to-use images for web, print, and more</b></font><br><div class=""product_header"">Product Information</div><br>1001 Animal Photos helps you add eye-catching pictures to your websites, presentations, and more. &nbsp;Use the browser to easily find the perfect picture for any project. &nbsp;These royalty-free photos can be used as backgrounds, decorations, illustrations, and more. &nbsp;1001 Animal Photos includes categories like aquatic, birds, farm, insects, pets, reptiles, and more - and it works with all major PC and Macintosh graphics software. &nbsp;The unique browser makes viewing the photos a snap, while the high-quality screen resolution will make all your work look stunning.<br><div class=""product_header"">Product Features</div> <ul>   <li>Over 1001 original images</li>   <li>Royalty-free and ready to use</li>   <li>Photos are in JPEG format</li>   <li>High-quality screen resolution</li>   <li>Works with PC/Mac graphics software</li> </ul><br><div class=""product_header"">Windows System Requirements</div> <b></b> <ul>   <li>Windows XP, Vista, Windows 7</li>   <li>233 MHz or faster professor (300 MHz recommended)</li>   <li>64 MB of RAM (128 MB recommended)</li>   <li>220 MB of available hard disk space</li>   <li>800 x 600 monitor</li>   <li>8 MB video card</li>   <li>8x CD-ROM or DVD-ROM Drive</li>   <li>Web browser (Internet connection not required)</li> </ul><br><div class=""product_header"">Macintosh System Requirements</div> <ul>   <li>Macintosh OS X 10.4 - 10.6.3</li>   <li>G3 300 MHz or faster or Intel processor</li>   <li>140 MB of RAM</li>   <li>400 MB of available hard disk space</li>   <li>800 x 600 monitor</li>   <li>8 MB video card</li>   <li>8x CD-ROM or DVD-ROM Drive</li>   <li>Web browser (Internet connection not required)</li> </ul><br><br>","1","1","+http://cdn.productinformation.net/images/products/large/162389.jpg","1001 Animal Photos","no_selection","","","","3.50","","SelectSoft Publishing","798936845719","","","","","__MAGMI_IGNORE__","__MAGMI_IGNORE__","__MAGMI_IGNORE__","","19.99","","","1001 Animal Photos","__MAGMI_IGNORE__","__MAGMI_IGNORE__","Block after Info Column","","19.99","1001 Animal Photos helps you add eye-catching pictures to your websites, presentations, and more.  Use the browser to easily find the perfect picture for any project.  These royalty-free photos can be used as backgrounds, decorations, illustrations, and more.  1001 Animal Photos includes categories like aquatic, birds, farm, insects, pets, reptiles, and more - and it works with all major PC and Macintosh graphics software.  The unique browser makes viewing the photos a snap, while the high-quality screen resolution will make all your work look stunning.","+http://cdn.productinformation.net/images/products/large/162389.jpg","1001 Animal Photos","","6.38","","1","2","+http://cdn.productinformation.net/images/products/large/162389.jpg","1001 Animal Photos","","","","4","0.15","9","0","1","0","0","1","1","1","0","1","1","","1","1","1","1","0","1","1","","","","","","","","","","","","","","88","","","1","0"
"XS162390","admin","Default","simple","Electronics;;Electronics/Software;;Electronics/Software/Photo Video Design","base","<font color=""#000080""><b>Ready-to-use images for web, print, and more</b></font><br><div class=""product_header"">Product Information</div><br>1001 Cultural Photos helps you add eye-catching pictures to your websites, presentations, and more. &nbsp;Use the browser to easily find the perfect picture for any project. &nbsp;These royalty-free photos can be used as backgrounds, decorations, illustrations, and more. &nbsp;1001 Cultural Photos includes categories like art, holiday, sports, toys, transportation, and more - and it works with all major PC and Macintosh graphics software. &nbsp;The unique browser makes viewing the photos a snap, while the high-quality screen resolution will make all your work look stunning.<br><div class=""product_header"">Product Features</div> <ul>   <li>Over 1001 original images</li>   <li>Royalty-free and ready to use</li>   <li>Photos are in JPEG format</li>   <li>High-quality screen resolution</li>   <li>Works with PC/Mac graphics software</li> </ul><br><div class=""product_header"">Windows System Requirements</div> <b></b> <ul>   <li>Windows XP, Vista, Windows 7</li>   <li>233 MHz or faster professor (300 MHz recommended)</li>   <li>64 MB of RAM (128 MB recommended)</li>   <li>300 MB of available hard disk space</li>   <li>800 x 600 monitor</li>   <li>8 MB video card</li>   <li>8x CD-ROM or DVD-ROM Drive</li>   <li>Web browser (Internet connection not required)</li> </ul><br><div class=""product_header"">Macintosh System Requirements</div> <ul>   <li>Macintosh OS X 10.4 - 10.6.3</li>   <li>G3 300 MHz or faster or Intel processor</li>   <li>140 MB of RAM</li>   <li>300 MB of available hard disk space</li>   <li>800 x 600 monitor</li>   <li>8 MB video card</li>   <li>8x CD-ROM or DVD-ROM Drive</li>   <li>Web browser (Internet connection not required)</li> </ul><br><br>","1","1","+http://cdn.productinformation.net/images/products/large/162390.jpg","1001 Cultural Photos","no_selection","","","","3.50","","SelectSoft Publishing","798936845726","","","","","__MAGMI_IGNORE__","__MAGMI_IGNORE__","__MAGMI_IGNORE__","","19.99","","","1001 Cultural Photos","__MAGMI_IGNORE__","__MAGMI_IGNORE__","Block after Info Column","","19.99","1001 Cultural Photos helps you add eye-catching pictures to your websites, presentations, and more.  Use the browser to easily find the perfect picture for any project.  These royalty-free photos can be used as backgrounds, decorations, illustrations, and more.  1001 Cultural Photos includes categories like art, holiday, sports, toys, transportation, and more - and it works with all major PC and Macintosh graphics software.  The unique browser makes viewing the photos a snap, while the high-quality screen resolution will make all your work look stunning.","+http://cdn.productinformation.net/images/products/large/162390.jpg","1001 Cultural Photos","","6.38","","1","2","+http://cdn.productinformation.net/images/products/large/162390.jpg","1001 Cultural Photos","","","","4","0.15","10","0","1","0","0","1","1","1","0","1","1","","1","1","1","1","0","1","1","","","","","","","","","","","","","","88","","","1","0"
"XS162391","admin","Default","simple","Electronics;;Electronics/Software;;Electronics/Software/Photo Video Design","base","<font color=""#000080""><b>Ready-to-use images for web, print, and more</b></font><br><div class=""product_header"">Product Information</div><br>1001 Destination Photos helps you add eye-catching pictures to your websites, presentations, and more. &nbsp;Use the browser to easily find the perfect picture for any project. &nbsp;These royalty-free photos can be used as backgrounds, decorations, illustrations, and more. &nbsp;1001 Destination Photos includes categories like Belgium, France, Germany, California, United Kingdom,&nbsp; and more - and it works with all major PC and Macintosh graphics software. &nbsp;The unique browser makes viewing the photos a snap, while the high-quality screen resolution will make all your work look stunning.<br><div class=""product_header"">Product Features</div> <ul>   <li>Over 1001 original images</li>   <li>Royalty-free and ready to use</li>   <li>Photos are in JPEG format</li>   <li>High-quality screen resolution</li>   <li>Works with PC/Mac graphics software</li> </ul><br><div class=""product_header"">Windows System Requirements</div> <b></b> <ul>   <li>Windows XP, Vista, Windows 7</li>   <li>233 MHz or faster professor (300 MHz recommended)</li>   <li>64 MB of RAM (128 MB recommended)</li>   <li>300 MB of available hard disk space</li>   <li>800 x 600 monitor</li>   <li>8 MB video card</li>   <li>8x CD-ROM or DVD-ROM Drive</li>   <li>Web browser (Internet connection not required)</li> </ul><br><div class=""product_header"">Macintosh System Requirements</div> <ul>   <li>Macintosh OS X 10.4 - 10.6.3</li>   <li>G3 300 MHz or faster or Intel processor</li>   <li>140 MB of RAM</li>   <li>350 MB of available hard disk space</li>   <li>800 x 600 monitor</li>   <li>8 MB video card</li>   <li>8x CD-ROM or DVD-ROM Drive</li>   <li>Web browser (Internet connection not required)</li> </ul><br><br>","1","1","+http://cdn.productinformation.net/images/products/large/162391.jpg","1001 Destination Photos","no_selection","","","","3.50","","SelectSoft Publishing","798936845733","","","","","__MAGMI_IGNORE__","__MAGMI_IGNORE__","__MAGMI_IGNORE__","","19.99","","","1001 Destination Photos","__MAGMI_IGNORE__","__MAGMI_IGNORE__","Block after Info Column","","19.99","1001 Destination Photos helps you add eye-catching pictures to your websites, presentations, and more.  Use the browser to easily find the perfect picture for any project.  These royalty-free photos can be used as backgrounds, decorations, illustrations, and more.  1001 Destination Photos includes categories like Belgium, France, Germany, California, United Kingdom,  and more - and it works with all major PC and Macintosh graphics software.  The unique browser makes viewing the photos a snap, while the high-quality screen resolution will make all your work look stunning.","+http://cdn.productinformation.net/images/products/large/162391.jpg","1001 Destination Photos","","6.38","","1","2","+http://cdn.productinformation.net/images/products/large/162391.jpg","1001 Destination Photos","","","","4","0.15","7","0","1","0","0","1","1","1","0","1","1","","1","1","1","1","0","1","1","","","","","","","","","","","","","","88","","","1","0"
"XS162392","admin","Default","simple","Electronics;;Electronics/Software;;Electronics/Software/Photo Video Design","base","\<font color=""#000080""><b>Ready-to-use images for web, print, and more</b></font><br><div class=""product_header"">Product Information</div><br>1001 Flower Photos helps you add eye-catching pictures to your websites, presentations, and more. &nbsp;Use the browser to easily find the perfect picture for any project. &nbsp;These royalty-free photos can be used as backgrounds, decorations, illustrations, and more. &nbsp;1001 Flower Photos includes categories like Azaleas, Camellias, Dahlias, Hyacinths, Orchids,&nbsp; and more - and it works with all major PC and Macintosh graphics software. &nbsp;The unique browser makes viewing the photos a snap, while the high-quality screen resolution will make all your work look stunning.<br><div class=""product_header"">Product Features</div> <ul>   <li>Over 1001 original images</li>   <li>Royalty-free and ready to use</li>   <li>Photos are in JPEG format</li>   <li>High-quality screen resolution</li>   <li>Works with PC/Mac graphics software</li> </ul><br><div class=""product_header"">Windows System Requirements</div> <b></b> <ul>   <li>Windows XP, Vista, Windows 7</li>   <li>233 MHz or faster professor (300 MHz recommended)</li>   <li>64 MB of RAM (128 MB recommended)</li>   <li>250 MB of available hard disk space</li>   <li>800 x 600 monitor</li>   <li>8 MB video card</li>   <li>8x CD-ROM or DVD-ROM Drive</li>   <li>Web browser (Internet connection not required)</li> </ul><br><div class=""product_header"">Macintosh System Requirements</div> <ul>   <li>Macintosh OS X 10.4 - 10.6.3</li>   <li>G3 300 MHz or faster or Intel processor</li>   <li>140 MB of RAM</li>   <li>250 MB of available hard disk space</li>   <li>800 x 600 monitor</li>   <li>8 MB video card</li>   <li>8x CD-ROM or DVD-ROM Drive</li>   <li>Web browser (Internet connection not required)</li> </ul><br><br>","1","1","+http://cdn.productinformation.net/images/products/large/162392.jpg","1001 Flower Photos","no_selection","","","","3.50","","SelectSoft Publishing","798936845740","","","","","__MAGMI_IGNORE__","__MAGMI_IGNORE__","__MAGMI_IGNORE__","","19.99","","","1001 Flower Photos","__MAGMI_IGNORE__","__MAGMI_IGNORE__","Block after Info Column","","19.99","1001 Flower Photos helps you add eye-catching pictures to your websites, presentations, and more.  Use the browser to easily find the perfect picture for any project.  These royalty-free photos can be used as backgrounds, decorations, illustrations, and more.  1001 Flower Photos includes categories like Azaleas, Camellias, Dahlias, Hyacinths, Orchids,  and more - and it works with all major PC and Macintosh graphics software.  The unique browser makes viewing the photos a snap, while the high-quality screen resolution will make all your work look stunning.","+http://cdn.productinformation.net/images/products/large/162392.jpg","1001 Flower Photos","","6.38","","1","2","+http://cdn.productinformation.net/images/products/large/162392.jpg","1001 Flower Photos","","","","4","0.15","8","0","1","0","0","1","1","1","0","1","1","","1","1","1","1","0","1","1","","","","","","","","","","","","","","88","","","1","0"
